SMILES,MW
CNc1ncnc2c1ncn2Cc1cc(F)ccc1F,275.262
CN(C)c1ncnc2c1ncn2Cc1c(F)cccc1F,289.289
CNc1ncnc2c1ncn2Cc1c(F)cccc1F,275.262
CC(=O)c1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,259.31299999999993
CCOC(=O)c1cccc(N2C(N)=NC(N)=NC2(C)C)c1,289.339
Oc1nc2ccccc2nc1N1CCNCC1,230.27099999999993
CC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,283.24899999999997
CC1(C)N=C(N)N=C(N)N1c1ccc(C(F)(F)F)cc1,285.273
Cc1cccc(N2C(N)=NC(N)=NC2(C)C)c1,231.303
FC(F)(F)c1ccc2nc(N3CCNCC3)cnc2c1,282.26899999999995
Nc1ccc2nc(N3CCNCC3)cnc2c1,229.287
Cc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,231.30300000000003
C[C@@H](N)Cc1c2c(c(Br)c3c1OCC3)OCC2.Cl,334.641
C=C(Br)COc1noc2c1CNCC2.Cl,295.564
C[C@H](N)Cc1c2ccoc2cc2ccoc12.Cl,251.713
C[C@@H](N)Cc1c2c(c(C(F)(F)F)c3c1OCC3)OCC2.Cl,323.742
O=C(O)C1CN(c2cnc3ccccc3n2)CCN1,258.281
c1ccc2nc(N3CCNCC3)cnc2c1,214.272
COc1c2occc2cc2ccc(=O)oc12,216.19199999999995
COc1cccc(-c2ccc(Cl)cc2)c1CC(=O)O,276.719
COc1cccc(N2C(N)=NC(N)=NC2(C)C)c1,247.30199999999996
O=C1CN(c2cnc3ccccc3n2)CCN1,228.255
Fc1cccc2ncc(N3CCNCC3)nc12,232.26199999999994
CN(C=O)c1ncnc2c1ncn2Cc1ccccc1F,285.28200000000004
COC(=O)c1ncn2c1CN(C)C(=O)c1ccccc1-2,271.276
CC(C)(C)c1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,273.38399999999996
NS(=O)(=O)c1cccc2cccnc12,208.242
Fc1ccccc1Cn1cnc2c(NC3CCC3)ncnc21,297.337
COc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,247.302
C[C@H](N)Cc1c2c(c(Br)c3c1OCC3)OCC2.Cl,334.641
COc1cc(C(F)(F)F)c(OC)cc1CC(C)N,263.259
COc1cc(CC(C)N)c(OC)cc1Br,274.158
COc1ccc(CC(=O)O)cc1-c1ccc(Cl)cc1,276.719
CC1(C)N=C(N)N=C(N)N1c1cccc(C#N)c1,242.28600000000003
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,258.32399999999996
CNc1ncnc2c1ncn2Cc1cccc(O)c1,255.281
COc1ccc(CC(=O)O)c(-c2ccc(Cl)cc2)c1,276.719
COc1cc(-c2ccc(Cl)cc2)ccc1CC(=O)O,276.719
COc1ccc(-c2ccc(Cl)cc2)cc1CC(=O)O,276.719
COc1c2occc2c(CN(C)C)c2ccc(=O)oc12.Cl,309.74899999999997
Nc1ccc(S(N)(=O)=O)cc1Br,251.10500000000002
[O-][n+]1cc(N2CCNCC2)nc2ccccc21,230.27100000000002
COc1c(CC(=O)O)cccc1-c1ccc(Cl)cc1,276.719
COc1c2occc2c(C[N+](C)(C)C)c2ccc(=O)oc12.[Cl-],323.77600000000007
Fc1ccccc1Cn1cnc2c(NCC3CC3)ncnc21,297.337
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,236.278
CC(=O)Nc1nnc(S(N)(=O)=O)s1,222.251
CC(C)(C)Nc1ncnc2c1ncn2Cc1ccccc1F,299.353
CC(C)Nc1ncnc2c1ncn2Cc1ccccc1F,285.326
CC1(C)N=C(N)N=C(N)N1c1ccc(F)cc1,235.26600000000002
CCCCc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,273.38399999999996
CN(C)c1ncnc2c1ncn2Cc1ccccc1,253.309
COc1cc(CC(=O)O)ccc1-c1ccc(Cl)cc1,276.719
CNc1ncnc2c1ncn2Cc1cccc(F)c1F,275.262
CC1(C)N=C(N)N=C(N)N1c1cccc(F)c1,235.26600000000002
Nc1ccc(S(N)(=O)=O)cc1Cl,206.65400000000002
Fc1ccccc1Cn1cnc2c(N3CCC3)ncnc21,283.31
CN(c1ncnc2c1ncn2Cc1ccccc1F)C1CC1,297.3370000000001
CC(=O)Nc1nc(O)c2ccccc2n1,203.20100000000002
Nc1nc(N)c2c(Cl)c(Cl)ccc2n1,229.07000000000002
CN1CCN(c2nc3ccccc3nc2O)CC1,244.29799999999997
Cn1c(=O)c(N2CCNCC2)nc2ccccc21,244.298
CC1(C)N=C(N)N=C(N)N1c1cccc(C(F)(F)F)c1,285.273
CC1(C)N=C(N)N=C(N)N1c1ccc(Br)cc1,296.172
CC1(C)N=C(N)N=C(N)N1c1ccccc1,217.27600000000004
N=C(N)N/N=C/c1c(Cl)cccc1Cl,231.086
C[C@@H](N)Cc1c2ccoc2cc2ccoc12.Cl,251.713
C[C@H](N)Cc1c2c(c(C(F)(F)F)c3c1OCC3)OCC2.Cl,323.742
C[C@@H](N)Cc1c2c(cc3c1OCC3)OCC2.Cl,255.74499999999992
COc1cc2cc3c(O)ncnc3nc2cc1OC,257.24899999999997
COc1ccc(-c2ccc(Cl)cc2)c(CC(=O)O)c1,276.71899999999994
COc1cc(CC(=O)O)cc(-c2ccc(Cl)cc2)c1,276.719
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,290.32300000000004
Clc1ccc2ncc(N3CCNCC3)nc2c1,248.71699999999996
CC(=O)c1cccc(N2C(N)=NC(N)=NC2(C)C)c1,259.31299999999993
CCOC(=O)c1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,289.339
CC1(C)N=C(N)N=C(N)N1c1ccc(S(N)(=O)=O)cc1,296.35600000000005
CC1(C)N=C(N)N=C(N)N1c1cccc(Br)c1,296.172
CCCCOc1cccc(N2C(N)=NC(N)=NC2(C)C)c1,289.383
C[C@H](N)Cc1c2c(cc3c1OCC3)OCC2.Cl,255.74499999999992
COc1noc2c1CN(Cc1ccccc1)CC2.Cl,280.75499999999994
CCC(NC(=O)C(CS)C(C)c1ccccc1)C(=O)O,295.40400000000005
CNc1ncnc2c1ncn2Cc1ccccc1C,253.309
CNc1ncnc2c1ncn2Cc1ccccc1Cl,273.727
Fc1ccccc1Cn1cnc2c(NC3CC3)ncnc21,283.31
Nc1ncnc2c1ncn2Cc1ccccc1F,243.24499999999998
Nc1nc(N)c2cc(Br)ccc2n1,239.076
CNc1ncnc2c1ncn2Cc1ccccc1F,257.272
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,266.34099999999995
CNc1ncnc2c1ncn2Cc1ccc(F)cc1,257.272
CNc1ncnc2c1ncn2Cc1ccc([N+](=O)[O-])cc1,284.279
CN(C)c1ncnc2c1ncn2Cc1ccccc1F,271.299
COc1cc2c(cc1OC)Nc1ncn(C)c(=O)c1C2,273.29200000000003
Fc1ccccc1Cn1cnc2c(N3CCCC3)ncnc21,297.337
Cc1cccc2nc(N3CCNCC3)cnc12,228.29899999999998
Nc1nc(N)c2c(Cl)c(Br)ccc2n1,273.521
Nc1nc(O)c2ccc(C(F)(F)F)cc2n1,229.16099999999994
CC1(C)N=C(N)N=C(N)N1c1cccc(S(N)(=O)=O)c1,296.35600000000005
CC(C)NCC(O)COc1cccc2ccccc12,259.34900000000005
CCc1nc(O)c2c(n1)Nc1ccccc1C2,227.267
CCN1c2ccccc2Cc2c(O)ncnc21,227.26699999999997
CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,266.34099999999995
O=c1c(-c2ccc(O)cc2O)coc2cc(O)cc(O)c12,286.23900000000003
CCNc1cccnc1N1CCN(C(=O)c2ccc[nH]2)CC1,299.378
COc1ccc2c(c1)Nc1ncnc(O)c1C2,229.23899999999998
COc1ccc2c(c1)Cc1c(O)ncnc1N2,229.239
CC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,251.72100000000003
CC(C)(C)c1cccc(N2C(N)=NC(N)=NC2(C)C)c1,273.38399999999996
COC(=O)c1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,275.31199999999995
CC(C)Nc1nc2ccccc2n2cnnc12,227.27100000000002
c1ccc2c(c1)nc(NC1CCCC1)c1nncn12,253.30899999999997
Cc1nnc2c(NC3CCCC3)nc3ccccc3n12,267.33599999999996
CCN(CC)c1nc2ccccc2n2cnnc12,241.29800000000003
C[C@@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1C,296.292
CCc1nnc2c(NC3CC3)nc3ccccc3n12,253.30899999999997
CCCc1nnc2c(NC3CCCC3)nc3ccccc3n12,295.39
C[C@@H]1C[C@H](C)c2cc3c(C(F)(F)F)cc(O)nc3cc2N1,296.292
[S-]c1nc2ccccc2c2cccc[n+]12,212.277
CCOC(=O)c1cc2ccccn2c(=S)n1,234.28
O=c1cc(-c2ccc(O)cc2O)oc2cc(O)ccc12,270.24
CCOC(=O)c1cc2ccccn2c(=O)n1,218.212
Fc1ccc2c(c1)-c1nc(-c3ccccn3)[nH]c1CCC2,279.3180000000001
Clc1ccc2c(c1)-c1nc(-c3ccccc3)[nH]c1CCC2,294.78500000000014
Nc1nc(N)c2c(Cl)c(N)ccc2n1,209.64000000000001
COc1ccc2c(c1)-c1nc(-c3ccccn3)[nH]c1CCC2,291.3540000000001
c1ccc2c(c1)CCCc1nc(-c3ccncc3)[nH]c1-2,261.32800000000003
c1cncc(-c2nc3c([nH]2)-c2ccccc2CCC3)c1,261.328
c1ccc(-c2nc3c([nH]2)-c2ccccc2CCC3)nc1,261.328
Cc1ccc2c(c1)-c1nc(-c3ccccn3)[nH]c1CCC2,275.3550000000001
Cc1[nH]c(-c2ccccc2)nc1-c1cccnc1,235.29
COc1cc2c(cc1OC)Nc1ncnc(O)c1C2,259.26500000000004
CC(C)NCC(O)COc1ccc(COCC2CC2)cc1,293.407
C[C@@H]1CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,282.265
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,270.24
O=c1c(-c2ccc(O)cc2O)coc2cc(O)ccc12,270.24
CC1(C)CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,296.292
COc1ccc2c(c1)-c1nc(-c3ccccc3)[nH]c1CC2,276.33900000000006
c1ccc(-c2nc3c([nH]2)CCOc2ccccc2-3)cc1,262.31199999999995
CC[C@@H]1CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,296.292
C[C@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1C,296.292
Cc1ccc(C(=O)OCC(O)CNC(C)C)cc1,251.32600000000002
CC(C)(C)NCC(O)COC(=O)Cc1ccccc1,265.35299999999995
O=[N+]([O-])c1oc2ccc3ccccc3c2c1CCO,257.24499999999995
O=[N+]([O-])c1oc2ccc3ccccc3c2c1-c1ccccc1,289.29
CCCCc1c([N+](=O)[O-])oc2ccc3ccccc3c12,269.30000000000007
CC(C)NCC(O)COC(=O)c1ccc(O)cc1,253.298
